OscarsWinner,Runtime,Metascore,imdbRating,imdbVotes,BoxOffice,GlobesWinner,Fantasy,Action,Adventure,Animation,Romance,Musical,Biography,Family,Comedy,Sci-Fi,Film-Noir,War,Sport,Music,Drama,Mystery,Thriller,History,Western,Crime,Horror,Rated_Approved,Rated_G,Rated_Not Rated,Rated_PG,Rated_PG-13,Rated_Passed,Rated_R,Rated_Unrated,Rated_X,year_ceremony_1945,year_ceremony_1946,year_ceremony_1948,year_ceremony_1949,year_ceremony_1951,year_ceremony_1953,year_ceremony_1955,year_ceremony_1957,year_ceremony_1958,year_ceremony_1959,year_ceremony_1960,year_ceremony_1961,year_ceremony_1962,year_ceremony_1963,year_ceremony_1964,year_ceremony_1965,year_ceremony_1966,year_ceremony_1967,year_ceremony_1968,year_ceremony_1969,year_ceremony_1970,year_ceremony_1971,year_ceremony_1972,year_ceremony_1973,year_ceremony_1974,year_ceremony_1975,year_ceremony_1976,year_ceremony_1977,year_ceremony_1978,year_ceremony_1979,year_ceremony_1980,year_ceremony_1981,year_ceremony_1982,year_ceremony_1983,year_ceremony_1984,year_ceremony_1985,year_ceremony_1986,year_ceremony_1987,year_ceremony_1988,year_ceremony_1989,year_ceremony_1990,year_ceremony_1991,year_ceremony_1992,year_ceremony_1993,year_ceremony_1994,year_ceremony_1995,year_ceremony_1996,year_ceremony_1997,year_ceremony_1998,year_ceremony_1999,year_ceremony_2000,year_ceremony_2001,year_ceremony_2002,year_ceremony_2003,year_ceremony_2004,year_ceremony_2005,year_ceremony_2006,year_ceremony_2007,year_ceremony_2008,year_ceremony_2009,year_ceremony_2010,year_ceremony_2011,year_ceremony_2012,year_ceremony_2013,year_ceremony_2014,year_ceremony_2015,year_ceremony_2016,year_ceremony_2017,year_ceremony_2018,year_ceremony_2019,year_ceremony_2020
0,1.8553835821048017,-0.6663842334839943,1.3107331837283764,-0.6121182129495091,-0.8049965611823456,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.8200900410220325,0.4883318572547057,-0.171299931500478,-0.5280624677897117,-0.3778885040617174,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.8155645997554644,-1.1993301215172405,-1.0181759973455353,-0.7582503339795974,-0.8049965611823456,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.373030352646186,-0.6663842334839943,-1.441614030268065,-0.7157871926076675,-0.24485403669693126,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-1.5292299175888664,-0.6219720761478905,-0.38301894796174185,-0.7682899279973585,-0.8049965611823456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.13556553536206195,0.08862244122977105,-2.711928129035652,-0.7659669791438036,-0.8049965611823456,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.6209951292753462,-0.3110869747951636,0.25213810142205156,-0.7622961744486069,-0.8035488696017896,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.2626242881313108,0.5771561719269134,0.25213810142205156,-0.3871899393693357,0.18651445690816656,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.497012740960766,0.8880412732796403,0.25213810142205156,-0.5720234793128084,-0.10153683592263463,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.5721252643928723,-0.26667481745905974,0.4638571178833173,-0.6152139627915264,0.278122154593333,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
